Lat,Long,pref_name_for_society,soc_id,Community marriage organization,Cousin marriages permitted,Cousin marriages permitted: subtypes,Cousin marriages preferred,Cousin marriages preferred: subtypes,Domestic organization,Marital composition: monogamy and polygamy,Marital residence with kin: alternate,Marital residence with kin: change after first years,Marital residence with kin: first years,Marital residence with kin: prevailing pattern,Organization of clan communities,Transactions at marriage: alternate type,Transactions at marriage: prevailing type,Transfer of residence at marriage: alternate,Transfer of residence at marriage: prevailing pattern,Community marriage organization_numeric,Cousin marriages permitted_numeric,Cousin marriages permitted: subtypes_numeric,Cousin marriages preferred_numeric,Cousin marriages preferred: subtypes_numeric,Domestic organization_numeric,Marital composition: monogamy and polygamy_numeric,Marital residence with kin: alternate_numeric,Marital residence with kin: change after first years_numeric,Marital residence with kin: first years_numeric,Marital residence with kin: prevailing pattern_numeric,Organization of clan communities_numeric,Transactions at marriage: alternate type_numeric,Transactions at marriage: prevailing type_numeric,Transfer of residence at marriage: alternate_numeric,Transfer of residence at marriage: prevailing pattern_numeric
-29.0,28.0,Sotho,Ab8,Agamous,Any first cousins,Quadrilateral,All: cross,Cross-cousin,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Different,Uxorilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,0,4,1,0,6,4,6,0,10,8,2,4,1,2,3
-29.0,31.0,Zulu,Ab12,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,5,2,7,4,7,4,6,1,8,8,0,4,1,2,3
-28.0,-50.0,Aweikoma,Sj3,Demes,Any first cousins,Quadrilateral,None preferred,None preferred,"Polygyny, atypical cowives pattern","Polygyny, non-sororal cohabit",No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,2,0,4,7,4,5,3,6,1,2,2,2,4,4,2,0
-28.0,138.0,Diyari,Id4,Exogamous,Some second only,Some second only,Some second only,Second cousin,"Polygyny, typical cowives pattern","Polygyny, sororal cohabit",No alternate,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Woman exchange,No alternate,Wife to husband,3,9,5,9,5,6,5,6,1,11,11,2,4,6,2,3
-27.0,32.0,Swazi,Ab2,Clans,Cross-cousin,Duolateral,None preferred,None preferred,Large extended,"Polygyny, sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,Clans with barrios,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,1,1,0,7,4,0,6,5,1,8,8,1,4,1,0,3
-26.0,18.0,Nama,Aa3,Clans,Cross-cousin,Duolateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Different,Uxorilocal,Patrilocal,Clans,Bride-wealth,Gift exchange,No alternate,Wife to husband,1,1,0,7,4,2,0,6,0,10,8,0,1,3,2,3
-25.0,-60.0,Toba,Sh8,Agamous,Only second cousins,Only second cousins,None preferred,None preferred,Small extended,Limited polygyny,No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,0,6,3,7,4,7,0,6,1,2,2,2,4,4,2,0
-25.0,30.0,Pedi,Ab15,Clans,Matrilateral cross only,Unilateral,Uni: MoBrDa,MoBrDa,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Different,Uxorilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,3,7,14,3,6,4,6,0,10,8,0,4,1,2,3
-25.0,34.0,Lenge,Ab16,Clans,Only second cousins,Only second cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,6,3,7,4,7,4,6,1,8,8,0,4,1,2,3
-25.0,46.0,Antandroy,Eh7,Demes,Only second cousins,Only second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Uxorilocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,Husband to wife,Wife to husband,2,6,3,7,4,6,4,9,1,8,8,2,4,1,1,3
-24.0,-63.0,Wichí,Sh1,Exogamous,No first cousins,No first cousins,None preferred,None preferred,Small extended,Limited polygyny,Virilocal,Different,Uxorilocal,Ambi-uxo,No exogamous clans,No alternate,Bride-service,Wife to husband,Ambi/neo-local,3,4,1,7,4,7,0,10,0,10,0,2,4,0,4,0
-24.0,27.0,Tswana,Ab13,"Segmented, no exogamy",Any first cousins,Quadrilateral,All: cross,Cross-cousin,"Polygyny, atypical cowives pattern","Polygyny, sororal separate quarters",No alternate,Different,Uxorilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,0,4,1,0,5,6,6,0,10,8,2,4,1,2,3
-24.0,31.0,Lovedu,Ab14,Clans,Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,1,0,4,3,6,4,6,1,8,8,0,4,1,2,3
-24.0,32.0,Tsonga,Ab4,Clans,Only second cousins,Only second cousins,None preferred,None preferred,Large extended,"Polygyny, sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,6,3,7,4,0,6,6,1,8,8,0,4,1,2,3
-24.0,134.0,Northern Aranda,Id1,Clans,Some second only,Some second only,Some second only,Second cousin,"Polygyny, typical cowives pattern","Polygyny, sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Dowry,No alternate,Wife to husband,1,9,5,9,5,6,5,6,1,8,8,0,4,2,2,3
-23.68,-46.64,Brazilians,Cf4,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,Virilocal,Same,Neolocal,Neolocal,No exogamous clans,No alternate,Insignificant,Wife to husband,Ambi/neo-local,0,4,1,7,4,3,1,10,1,7,7,2,4,4,4,0
-23.12,-134.97,Mangarevans,Ij7,Agamous,Only second cousins,Only second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Insignificant,Husband to wife,Ambi/neo-local,0,6,3,7,4,2,0,9,1,1,1,2,4,4,1,0
-23.0,30.0,Venda,Ab6,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,Large extended,"Polygyny, sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,1,0,4,3,0,6,6,1,8,8,2,4,1,2,3
-22.9,47.75,Antaisaka,Eh9,Clans,No first cousins,No first cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans with barrios,Bride-service,Token bride-wealth,No alternate,Wife to husband,1,4,1,7,4,7,4,6,1,8,8,1,0,5,2,3
-22.0,-62.0,Choroti,Sh5,Exogamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,No alternate,Same,Uxorilocal,Uxorilocal,No exogamous clans,No alternate,Bride-service,No alternate,Husband to wife,3,4,1,7,4,3,1,6,1,10,10,2,4,0,2,1
-22.0,16.0,Bergdama,Aa4,Exogamous,Any first cousins,Quadrilateral,None preferred,None preferred,"Polygyny, atypical cowives pattern","Polygyny, sororal separate quarters",Uxorilocal,Different,Uxorilocal,Ambi-viri,No exogamous clans,No alternate,Bride-service,Husband to wife,Ambi/neo-local,3,0,4,7,4,5,6,9,0,10,1,2,4,0,1,0
-22.0,47.0,Betsileo,Eh10,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Wife to husband,0,5,2,7,4,7,3,6,1,8,8,2,4,5,2,3
-22.0,47.0,Tanala,Eh3,"Segmented, exogamy",Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Wife to husband,4,1,0,3,0,7,4,6,1,8,8,2,4,5,2,3
-22.0,132.0,Walbiri,Id10,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Wife to husband,0,5,2,7,4,6,5,6,1,8,8,2,4,5,2,3
-21.93,-157.91,Mangaians,Ij1,Exogamous,No first/second cousins,No first/second cousins,None preferred,None preferred,Small extended,"Polygyny, sororal cohabit",Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Insignificant,Husband to wife,Ambi/neo-local,3,5,2,7,4,7,5,9,1,1,1,2,4,4,1,0
-21.0,-58.0,Terena,Sh2,Demes,No first cousins,No first cousins,None preferred,None preferred,Large extended,Limited polygyny,Neolocal,Different,Uxorilocal,Ambilocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,2,4,1,7,4,0,0,5,0,10,2,2,4,4,2,0
-21.0,16.0,Herero,Ab1,Exogamous,Cross-cousin,Duolateral,Cross-cousin: patri,FaSiDa,Small extended,"Polygyny, non-sororal separate quarters",Avunculocal,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,3,1,0,5,2,7,4,3,1,11,11,2,4,1,2,3
-21.0,43.93,Sakalava,Eh8,Clans,No first cousins,No first cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Insignificant,No alternate,Wife to husband,1,4,1,7,4,0,4,6,1,8,8,0,4,4,2,3
-21.0,118.0,Kariyarra,Id5,Clans,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Polygyny, typical cowives pattern","Polygyny, sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Woman exchange,No alternate,Wife to husband,1,1,0,3,0,6,5,6,1,8,8,0,4,6,2,3
-20.94,167.23,Lifu,Ih7,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,Bride-service,Bride-wealth,No alternate,Wife to husband,1,5,2,7,4,0,4,6,1,8,8,0,0,1,2,3
-20.0,-63.0,Guaraní,Sh7,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,Small extended,Limited polygyny,Neolocal,Different,Uxorilocal,Virilocal,No exogamous clans,No alternate,Bride-service,Ambi/neo-local,Wife to husband,0,0,4,7,4,7,0,5,0,10,11,2,4,0,0,3
-20.0,21.0,!Kung,Aa1,Exogamous,No first/second cousins,No first/second cousins,None preferred,None preferred,Small extended,Limited polygyny,No alternate,Different,Uxorilocal,Ambilocal,No exogamous clans,No alternate,Bride-service,No alternate,Ambi/neo-local,3,5,2,7,4,7,0,6,0,10,2,2,4,0,2,0
-20.0,24.0,Naron,Aa7,Exogamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Uxorilocal,Different,Ambilocal,Ambi-viri,No exogamous clans,No alternate,Token bride-wealth,Husband to wife,Ambi/neo-local,3,4,1,7,4,2,0,9,0,2,1,2,4,5,1,0
-20.0,28.0,Ndebele,Ab9,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,5,2,7,4,6,4,6,1,8,8,2,4,1,2,3
-20.0,34.0,Ndau,Ab17,Clans,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,6,4,6,1,8,8,0,4,1,2,3
-19.74,-175.07,Tongans,Ii12,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Avunculocal,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Insignificant,No alternate,Wife to husband,5,4,1,7,4,2,0,3,1,11,11,2,4,4,2,3
-19.6,169.44,Tannese,Ih10,Clans,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,1,0,3,0,2,0,6,1,8,8,0,4,1,2,3
-19.05,-169.86,Niueans,Ii9,"Segmented, no exogamy",Only second cousins,Only second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Insignificant,Husband to wife,Ambi/neo-local,5,6,3,7,4,2,0,9,1,1,1,2,4,4,1,0
-19.0,31.0,Shona,Ab18,Clans,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, atypical cowives pattern","Polygyny, sororal separate quarters",Uxorilocal,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,Husband to wife,Wife to husband,1,4,1,7,4,5,6,9,1,8,8,0,4,1,1,3
-19.0,46.0,Merina,Eh2,Agamous,Cross-cousin,Duolateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Wife to husband,0,1,0,7,4,2,0,6,1,11,11,2,4,5,2,3
-18.85,169.16,Eromangans,Ih12,Clans,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,2,0,6,1,8,8,0,4,1,2,3
-18.0,-63.0,Camba,Se7,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,Ambilocal,Same,Neolocal,Neolocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,0,4,1,7,4,3,1,0,1,7,7,2,4,4,2,0
-18.0,28.0,Plateau Tonga,Ac30,Agamous,Cross-cousin,Duolateral,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",Neolocal,Different,Uxorilocal,Avuncu-virilocal,No exogamous clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,0,1,0,7,4,7,4,5,0,10,4,2,4,1,0,3
-17.81,178.32,Vanua Levu,Ih8,"Segmented, no exogamy",Only second cousins,Only second cousins,None preferred,None preferred,Small extended,Limited polygyny,Uxorilocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Gift exchange,Husband to wife,Wife to husband,5,6,3,7,4,7,0,9,1,8,8,2,4,3,1,3
-17.74,-179.31,Lau,Ih4,Clans,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Small extended,"Polygyny, sororal cohabit",Uxorilocal,Different,Separate,Patrilocal,Clans,No alternate,Gift exchange,Husband to wife,Wife to husband,1,1,0,3,0,7,5,9,0,9,8,0,4,3,1,3
-17.71,-149.54,Tahitians,Ij8,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,0,4,1,7,4,2,0,6,1,2,2,2,4,4,2,0
-16.51,167.47,Seniang,Ih2,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,5,2,7,4,6,5,6,1,8,8,0,4,1,2,3
-16.18,168.15,Ranon,Ih13,"Segmented, no exogamy",Some second only,Some second only,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Woman exchange,No alternate,Wife to husband,5,9,5,7,4,2,0,6,1,8,8,2,4,6,2,3
-16.0,-69.0,Aymara,Sf2,Demes,No first cousins,No first cousins,None preferred,None preferred,Large extended,Monogamous,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Insignificant,No alternate,Wife to husband,2,4,1,7,4,0,1,6,1,8,8,2,4,4,2,3
-16.0,-64.0,Sirionó,Se1,"Segmented, no exogamy",Matrilateral cross only,Unilateral,Uni: MoBrDa,MoBrDa,Large extended,"Polygyny, sororal cohabit",No alternate,Same,Uxorilocal,Uxorilocal,No exogamous clans,No alternate,Insignificant,No alternate,Husband to wife,5,3,7,14,3,0,5,6,1,10,10,2,4,4,2,1
-16.0,-55.0,Bororo,Si1,"Segmented, no exogamy",Cross-cousin,Duolateral,None preferred,None preferred,Small extended,Limited polygyny,No alternate,Same,Matrilocal,Matrilocal,No exogamous clans,No alternate,Insignificant,No alternate,Husband to wife,5,1,0,7,4,7,0,6,1,6,6,2,4,4,2,1
-16.0,27.0,Ila,Ac1,Agamous,Patrilateral cross only,Unilateral,Uni: FaSiDa,FaSiDa,Small extended,"Polygyny, non-sororal separate quarters",Avunculocal,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,8,7,13,2,7,4,3,1,11,11,2,4,1,2,3
-16.0,36.0,Nyanja,Ac38,Agamous,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Avunculocal,Same,Matrilocal,Matrilocal,No exogamous clans,No alternate,Bride-service,Wife to husband,Husband to wife,0,1,0,3,0,6,4,3,1,6,6,2,4,0,4,1
-15.95,168.22,Bunlap,Ih3,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,Bride-wealth,Woman exchange,No alternate,Wife to husband,5,5,2,7,4,2,0,6,1,8,8,2,1,6,2,3
-15.0,14.0,Nyaneka,Ab7,Clans,Cross-cousin,Duolateral,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Different,Virilocal,Avunculocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,1,0,7,4,7,4,6,0,11,5,0,4,1,2,3
-15.0,23.0,Lozi,Ab3,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Avunculocal,Different,Uxorilocal,Virilocal,No exogamous clans,Bride-service,Token bride-wealth,No alternate,Wife to husband,0,5,2,7,4,6,4,3,0,10,11,2,0,5,2,3
-15.0,31.0,Lala,Ac33,Clans,Matrilateral cross only,Unilateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Neolocal,Different,Uxorilocal,Avunculocal,Clans,No alternate,Bride-service,Ambi/neo-local,Wife to husband,1,3,7,7,4,2,0,5,0,10,5,0,4,0,0,3
-15.0,32.0,Kunda,Ac37,Agamous,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Different,Uxorilocal,Avuncu-uxorilocal,No exogamous clans,No alternate,Bride-service,No alternate,Ambi/neo-local,0,1,0,3,0,6,4,6,0,10,3,2,4,0,2,0
-15.0,39.0,Makua,Ac42,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Avuncu-uxorilocal,Avuncu-uxorilocal,No exogamous clans,No alternate,Bride-service,No alternate,Ambi/neo-local,5,1,0,3,0,7,4,6,1,3,3,2,4,0,2,0
-15.0,142.0,Yir Yoront,Id12,Clans,Matrilateral cross only,Unilateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Different,Uxorilocal,Patrilocal,Clans,No alternate,Insignificant,No alternate,Wife to husband,1,3,7,7,4,2,0,6,0,10,8,0,4,4,2,3
-14.0,-55.0,Bacairi,Si3,Demes,Cross-cousin,Duolateral,None preferred,None preferred,Small extended,Limited polygyny,Neolocal,Different,Uxorilocal,Virilocal,No exogamous clans,No alternate,Insignificant,Ambi/neo-local,Wife to husband,2,1,0,7,4,7,0,5,0,10,11,2,4,4,0,3
-14.0,-52.0,Shavante,Sj11,Agamous,No first cousins,No first cousins,None preferred,None preferred,Small extended,"Polygyny, sororal cohabit",No alternate,Same,Uxorilocal,Uxorilocal,No exogamous clans,No alternate,Bride-service,No alternate,Husband to wife,0,4,1,7,4,7,5,6,1,10,10,2,4,0,2,1
-14.0,33.0,Chewa,Ac10,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Uxorilocal,Different,Uxorilocal,Avunculocal,No exogamous clans,Token bride-wealth,Bride-service,Husband to wife,Wife to husband,5,1,0,3,0,6,4,9,0,10,5,2,5,0,1,3
-14.0,142.0,Wikmunkan,Id6,Clans,Matrilateral cross only,Unilateral,Uni: MoBrDa,MoBrDa,"Polygyny, typical cowives pattern","Polygyny, sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Dowry,No alternate,Wife to husband,1,3,7,14,3,6,5,6,1,8,8,0,4,2,2,3
-13.99,136.6,Anindilyagwa,Id13,Clans,Only second cousins,Only second cousins,Second cousins preferred,Second cousin,"Polygyny, typical cowives pattern","Polygyny, sororal cohabit",No alternate,Different,Uxorilocal,Patrilocal,Clans,No alternate,Insignificant,No alternate,Wife to husband,1,6,3,8,5,6,5,6,0,10,8,0,4,4,2,3
-13.94,-171.77,Upolu Samoans,Ii14,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,Large extended,Limited polygyny,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Gift exchange,Husband to wife,Ambi/neo-local,5,5,2,7,4,0,0,9,1,1,1,2,4,3,1,0
-13.84,167.7,Mota,Ih1,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, sororal cohabit",No alternate,Same,Avunculocal,Avunculocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,4,1,7,4,6,5,6,1,5,5,2,4,1,2,3
-13.68,-172.41,American Samoans,Ii1,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,Large extended,Limited polygyny,No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Gift exchange,No alternate,Ambi/neo-local,5,5,2,7,4,0,0,6,1,2,2,2,4,3,2,0
-13.0,-72.0,Inca,Sf1,Demes,Any first cousins,Quadrilateral,None preferred,None preferred,"Nuclear, monogamous",Monogamous,Neolocal,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Insignificant,Ambi/neo-local,Wife to husband,2,0,4,7,4,3,1,5,1,11,11,2,4,4,0,3
